타임스탬프,학년,MBTI 첫 문자가 무엇인가요?,MBTI 두번째 문자가 무엇인가요?,MBTI 세번째 문자가 무엇인가요?,MBTI 네번째 문자가 무엇인가요?,MBTI가 자신의 성격을 잘 나타낸다고 생각하시나요?,MBTI가 학업 성취도와 연관이 있다고 생각하시나요?,학업 성취도와 연관이 있다고 생각하시면 어떤 MBTI가 가장 뛰어난 학업 성취도를 보일 것 같다고 생각하시나요?,카톡아이디(선물 지급용)
2024. 6. 8 오후 7:04:19,10학년,I,S,F,J,네,아니오,ISTJ,
2024. 6. 8 오후 7:06:41,10학년,I,S,T,P,네,아니오,연관 없음,
2024. 6. 8 오후 7:10:11,8학년,E,S,F,P,네,네,없음,Hde100326
2024. 6. 8 오후 7:14:24,7학년,I,N,T,P,네,아니오,INTPPP,2023KMJ
2024. 6. 8 오후 7:15:35,11학년,E,N,T,P,아니오,네,Intj,kyj07066
2024. 6. 8 오후 7:15:40,7학년,E,S,T,J,네,네,ESTJ 아니면 ISTJ,kyuri20111005
2024. 6. 8 오후 7:15:55,11학년,I,S,T,J,네,네,ISTJ,
2024. 6. 8 오후 7:16:26,7학년,E,N,T,P,네,네,ESTJ,Myang11
2024. 6. 8 오후 7:16:49,11학년,I,S,F,J,네,아니오,연관없음,mamel5678
2024. 6. 8 오후 7:17:28,8학년,E,N,F,P,네,네,ISTJ,Guyun2010hcmc
2024. 6. 8 오후 7:17:33,9학년,I,S,F,P,아니오,네,ISTJ,Jsj090201
2024. 6. 8 오후 7:18:12,8학년,I,N,F,J,네,네,아마도 현실적인 t가 더 뛰어난 성취도를 보일 것 같다고 생각합니다. 이해도와 집중력이 뛰어나다고 생각하기 때문입니다. ,love_gloria32 
2024. 6. 8 오후 7:18:38,11학년,I,N,F,J,네,네,INTP,Kdy07813
2024. 6. 8 오후 7:19:51,11학년,E,S,F,J,네,네,ISTJ,
2024. 6. 8 오후 7:20:18,11학년,I,N,T,J,아니오,네,Entp,
2024. 6. 8 오후 7:21:02,11학년,I,N,T,P,네,아니오,연관없음,Lse07128
2024. 6. 8 오후 7:22:02,11학년,I,S,F,P,네,네,Entj,Bny7624
2024. 6. 8 오후 7:23:08,8학년,E,S,T,J,네,네,Entp,Ksm100918
2024. 6. 8 오후 7:23:48,11학년,E,S,F,P,네,네,INTJ,
2024. 6. 8 오후 7:24:32,8학년,I,S,F,P,네,아니오,아니요,nice_to_meet_you
2024. 6. 8 오후 7:24:58,8학년,E,N,F,J,아니오,아니오,X,
2024. 6. 8 오후 7:28:04,9학년,I,S,T,P,네,아니오,X,Khw1234567
2024. 6. 8 오후 7:29:17,11학년,I,S,F,J,네,네,Intp,
2024. 6. 8 오후 7:30:13,7학년,E,N,F,P,네,아니오,연관X,Hsy110203
2024. 6. 8 오후 7:31:19,9학년,I,N,T,P,네,네,Intj,Yjm090315
2024. 6. 8 오후 7:32:33,11학년,I,S,F,J,네,네,ENTJ,kbh7726
2024. 6. 8 오후 7:33:33,12학년,E,S,T,J,네,네,Estj,yyh71123
2024. 6. 8 오후 7:34:46,11학년,I,N,T,P,네,네,INTJ,Uny070903
2024. 6. 8 오후 7:35:25,11학년,I,S,T,J,아니오,네,ENTJ,lhs75310
2024. 6. 8 오후 7:37:10,10학년,E,N,F,P,네,네,INTP,Yty0896
2024. 6. 8 오후 7:38:54,11학년,I,N,F,J,네,아니오,없음,
2024. 6. 8 오후 7:39:15,11학년,I,N,T,P,네,네,ENTJ,Khj761500
2024. 6. 8 오후 7:40:00,10학년,E,N,F,J,네,네,INTJ,ojw081013
2024. 6. 8 오후 7:40:47,8학년,I,S,F,P,아니오,네,ESTP,Hjw10117
2024. 6. 8 오후 7:42:05,11학년,I,N,T,P,네,네,ISTJ,Kmj3998
2024. 6. 8 오후 7:42:35,9학년,I,S,T,P,네,네,ENTJ,
2024. 6. 8 오후 7:43:19,11학년,I,S,F,P,네,아니오,연관 없어용,
2024. 6. 8 오후 7:44:06,11학년,I,N,T,P,네,네,INTP,lhk70412
2024. 6. 8 오후 7:46:09,8학년,I,N,F,P,네,네,ESTJ,bhe6209
2024. 6. 8 오후 7:49:28,7학년,E,N,F,P,네,아니오,학업 성취도와 연관이 없다고 생각합니다,Chxe_a
2024. 6. 8 오후 8:13:12,8학년,I,S,T,P,아니오,아니오,ISTJ  왜냐하면 내향적인 성향이라 밖에서 많이 놀지 않고 이성적인 판단을 해서 공부와 노는 때를 확실히 하고 계획을 구체적이고 잘 세워서 학업 성취도가 가장 높을 것 같다.,minolam0623
2024. 6. 8 오후 8:15:17,7학년,I,S,T,J,네,아니오, ,Jungbokyung
2024. 6. 8 오후 8:24:27,8학년,E,S,T,J,네,네,ENFJ,khcm
2024. 6. 9 오전 12:01:28,11학년,E,S,T,J,네,아니오,ESFJ,showmehae313
